Matchup,Venue,City,Game Time (UTC),Temp (°F),Rain Chance (%),Wind (mph),Forecast
New York Mets @ Baltimore Orioles,Oriole Park at Camden Yards,Baltimore,16:05,78,23,2 mph,Isolated Rain Showers
New York Mets @ Baltimore Orioles,Oriole Park at Camden Yards,Baltimore,21:05,78,23,2 mph,Isolated Rain Showers
Chicago Cubs @ Minnesota Twins,Target Field,Minneapolis,17:10,74,76,5 mph,Showers And Thunderstorms
Miami Marlins @ Cincinnati Reds,Great American Ball Park,Newport,21:10,78,3,1 mph,Partly Sunny
Seattle Mariners @ New York Yankees,Yankee Stadium,Fort Lee,23:05,77,43,3 mph,Chance Showers And Thunderstorms
Tampa Bay Rays @ Boston Red Sox,Fenway Park,Cambridge,23:10,69,92,9 mph,Rain Showers
Cleveland Guardians @ Chicago White Sox,Rate Field,,23:40,,,,Unknown Stadium—No Data
Washington Nationals @ St. Louis Cardinals,Busch Stadium,Brooklyn,23:45,80,4,3 mph,Sunny
Atlanta Braves @ Athletics,Sutter Health Park,West Sacramento,01:05,63,0,2 mph,Sunny
Texas Rangers @ Los Angeles Angels,Angel Stadium,Orange,01:38,67,0,0 mph,Mostly Sunny
Arizona Diamondbacks @ San Diego Padres,Petco Park,Coronado,01:40,69,0,5 mph,Mostly Clear
