Game Date,Game ID,Team,Player Name,Position,Batting AVG,At Bats,Hits,Doubles,Triples,Home Runs,RBIs,Runs,Walks,Strikeouts (Batting),Stolen Bases,Left On Base,OBP,SLG,OPS,Pitcher ERA,Innings Pitched,Hits Allowed,Runs Allowed,Earned Runs,Walks Issued,Strikeouts (Pitching),Home Runs Allowed,Pitches Thrown,Strikes,Wins,Losses,Saves,Holds,Blown Saves
2025-07-03,777263,Miami Marlins,Xavier Edwards,2B,,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Kyle Stowers,LF,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Liam Hicks,C,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Nick Fortes,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Josh Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Anthony Bender,P,,,,,,,,,,,,,,,,,0.1,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0
2025-07-03,777263,Miami Marlins,Jesús Sánchez,RF,,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Agustín Ramírez,DH,,4.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Janson Junk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Connor Norby,3B,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Derek Hill,CF,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Eury Pérez,P,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,1.0,7.0,0.0,80.0,51.0,1.0,0.0,0.0,0.0,0.0
2025-07-03,777263,Miami Marlins,Otto Lopez,SS,,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Valente Bellozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Justin Topa,P,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777263,Minnesota Twins,Jhoan Duran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Kody Clemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Brooks Lee,SS,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Louis Varland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Simeon Woods Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Willi Castro,2B,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,David Festa,P,,,,,,,,,,,,,,,,,6.0,5.0,4.0,4.0,1.0,7.0,1.0,87.0,59.0,0.0,1.0,0.0,0.0,0.0
2025-07-03,777263,Minnesota Twins,Ryan Jeffers,"PH, C",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Ty France,1B,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Harrison Bader,LF,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,DaShawn Keirsey Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Cole Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Griffin Jax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Carlos Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Brock Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Joey Wentz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Kody Funderburk,P,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777263,Minnesota Twins,Royce Lewis,3B,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Chris Paddack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Trevor Larnach,DH,,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Byron Buxton,CF,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Danny Coulombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Joe Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Matt Wallner,RF,,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Minnesota Twins,Christian Vázquez,C,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Mickey Moniak,"PH, DH",,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Victor Vodnik,P,,,,,,,,,,,,,,,,,0.2,1.0,0.0,0.0,1.0,1.0,0.0,21.0,9.0,0.0,0.0,0.0,1.0,0.0
2025-07-03,777264,Colorado Rockies,Thairo Estrada,2B,,4.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Michael Toglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Jimmy Herget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Chase Dollander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Germán Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Ryan McMahon,3B,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Kyle Freeland,P,,,,,,,,,,,,,,,,,6.0,6.0,3.0,3.0,2.0,2.0,0.0,92.0,60.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777264,Colorado Rockies,Austin Gomber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Tyler Freeman,RF,,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Juan Mejia,P,,,,,,,,,,,,,,,,,1.0,3.0,2.0,2.0,0.0,0.0,0.0,22.0,13.0,1.0,0.0,0.0,0.0,1.0
2025-07-03,777264,Colorado Rockies,Ryan Ritter,SS,,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Yanquiel Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Hunter Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Ryan Rolison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Kyle Farmer,DH,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Tyler Kinley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Jordan Beck,LF,,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Zach Agnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Brenton Doyle,CF,,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Jake Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Orlando Arcia,1B,,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Austin Nola,C,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Colorado Rockies,Seth Halvorsen,P,,,,,,,,,,,,,,,,,1.1,3.0,1.0,1.0,0.0,1.0,0.0,26.0,18.0,0.0,0.0,1.0,0.0,0.0
2025-07-03,777264,Colorado Rockies,Antonio Senzatela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Shay Whitcomb,2B,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Framber Valdez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Isaac Paredes,3B,,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Bryan Abreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Cooper Hummel,LF,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Cam Smith,RF,,5.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Victor Caratini,C,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Brandon Walter,P,,,,,,,,,,,,,,,,,5.0,8.0,5.0,5.0,0.0,3.0,1.0,91.0,62.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777264,Houston Astros,Mauricio Dubón,SS,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Hunter Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Josh Hader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Jordan Weems,P,,,,,,,,,,,,,,,,,2.0,5.0,2.0,2.0,0.0,0.0,0.0,33.0,22.0,0.0,1.0,0.0,0.0,0.0
2025-07-03,777264,Houston Astros,Jake Meyers,CF,,5.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Kaleb Ort,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777264,Houston Astros,Steven Okert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,César Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Zack Short,SS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Bennett Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Jose Altuve,"DH, 2B",,4.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Taylor Trammell,PH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Ryan Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Lance McCullers Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Bryan King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Christian Walker,1B,,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Colton Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777264,Houston Astros,Yainer Diaz,PH,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Brady House,3B,,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Jose A. Ferrer,P,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
2025-07-03,777258,Washington Nationals,CJ Abrams,SS,,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Zach Brzykcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Drew Millas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Riley Adams,C,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Trevor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Nathaniel Lowe,1B,,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Amed Rosario,2B,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Andrew Chafin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Josh Bell,"PH, DH",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Kyle Finnegan,P,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Washington Nationals,Cole Henry,P,,,,,,,,,,,,,,,,,0.2,4.0,2.0,2.0,0.0,1.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Washington Nationals,Brad Lord,P,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Washington Nationals,Paul DeJong,DH,,4.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Daylen Lile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,James Wood,LF,,5.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Michael Soroka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,MacKenzie Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Jacob Young,CF,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Jake Irvin,P,,,,,,,,,,,,,,,,,6.0,3.0,3.0,3.0,3.0,4.0,1.0,107.0,68.0,1.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Washington Nationals,Alex Call,RF,,5.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Mitchell Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Eduardo Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Jackson Rutledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Washington Nationals,Luis García Jr.,"PH, 2B",,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Chase Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Brant Hurter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Justyn-Henry Malloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Zach McKinstry,3B,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Tarik Skubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Trey Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Casey Mize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Jahmai Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Riley Greene,LF,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Javier Báez,SS,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Tyler Holton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Jack Flaherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Spencer Torkelson,DH,,4.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Bailey Horn,P,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Detroit Tigers,Carlos Hernández,P,,,,,,,,,,,,,,,,,1.1,4.0,2.0,2.0,1.0,1.0,0.0,47.0,28.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Detroit Tigers,Gleyber Torres,2B,,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Jake Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Tommy Kahnle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Brenan Hanifee,P,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Detroit Tigers,Dietrich Enns,P,,,,,,,,,,,,,,,,,4.0,8.0,8.0,7.0,2.0,3.0,2.0,83.0,52.0,0.0,1.0,0.0,0.0,0.0
2025-07-03,777258,Detroit Tigers,Matt Vierling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Parker Meadows,CF,,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Dillon Dingler,C,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Will Vest,P,,,,,,,,,,,,,,,,,0.2,0.0,0.0,0.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,777258,Detroit Tigers,Colt Keith,1B,,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777258,Detroit Tigers,Wenceel Pérez,RF,,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Bo Bichette,"PH, SS",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Nick Sandlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Brendon Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Ernie Clement,"SS, 3B",,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Chris Bassitt,P,,,,,,,,,,,,,,,,,5.2,8.0,3.0,3.0,3.0,9.0,1.0,113.0,72.0,1.0,0.0,0.0,0.0,0.0
2025-07-03,777260,Toronto Blue Jays,Kevin Gausman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Andrés Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Eric Lauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Justin Bruihl,P,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0
2025-07-03,777260,Toronto Blue Jays,Jeff Hoffman,P,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,1.0,0.0,0.0
2025-07-03,777260,Toronto Blue Jays,Will Wagner,3B,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Davis Schneider,LF,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,José Berríos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Nathan Lukes,"CF, LF",,5.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777260,Toronto Blue Jays,Addison Barger,RF,,4.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
