Game Date,Game ID,Team,Player Name,Position,Batting AVG,At Bats,Hits,Doubles,Triples,Home Runs,RBIs,Runs,Walks,Strikeouts (Batting),Stolen Bases,Left On Base,OBP,SLG,OPS,Pitcher ERA,Innings Pitched,Hits Allowed,Runs Allowed,Earned Runs,Walks Issued,Strikeouts (Pitching),Home Runs Allowed,Pitches Thrown,Strikes,Wins,Losses,Saves,Holds,Blown Saves
2025-07-03,777263,Miami Marlins,Lake Bachar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Dane Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Heriberto Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Sandy Alcantara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Edward Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Tyler Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Eric Wagaman,1B,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Ronny Henriquez,P,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,11.0,0.0,0.0,1.0,0.0,0.0
2025-07-03,777263,Miami Marlins,Cal Quantrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Calvin Faucher,P,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0
2025-07-03,777263,Miami Marlins,Javier Sanoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,777263,Miami Marlins,Cade Gibson,P,,,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,0.0,1.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
